"name","neighbourhood_group","neighbourhood","room_type","price"
"Brownstone in Brooklyn Heights","Brooklyn","Brooklyn Heights","Entire home/apt",140
"Big & Beautiful room with 2 beds!","Queens","Long Island City","Private room",70
"Pinks Place (best i could think of sorry)","Brooklyn","Brownsville","Private room",45
"10min Express train(E&F) in woodside","Queens","Woodside","Private room",37
"An Oasis in  the Big Apple 1","Queens","Woodside","Entire home/apt",80
"Charming comfy apt in hip Bushwick!","Brooklyn","Bushwick","Entire home/apt",82
"*Cozy apt Manhattan,Near Central Park !*","Manhattan","Upper East Side","Private room",85
"Kozy Queens Korner","Queens","Springfield Gardens","Entire home/apt",106
"Bronx Home - 30 mins from Midtown!","Bronx","Mount Hope","Entire home/apt",105
"Cozy and modern apartment in Hell's Kitchen","Manhattan","Hell's Kitchen","Entire home/apt",200
"Staten Island","Staten Island","Concord","Private room",69
"Hip Bushwick Basement Dwelling","Brooklyn","Bushwick","Private room",100
"Cozy Master bedroom/private bath.","Queens","Jamaica","Private room",90
"Bushwick gem with private garden patio.","Brooklyn","Bushwick","Entire home/apt",125
"Lovely 1- bedroom near NY Yankee Stadium Bronx","Bronx","Highbridge","Private room",95
"Full size bed suite.","Queens","Jamaica","Private room",65
"Cozy room in prime area","Manhattan","East Village","Private room",85
"Modern one bedroom in the heart of Brooklyn","Brooklyn","Bedford-Stuyvesant","Entire home/apt",105
"Lovely 2 bedroom Apartment","Brooklyn","Sunset Park","Entire home/apt",166
"Cozy One Bedroom in Williamsburg!","Brooklyn","Williamsburg","Entire home/apt",200
"Spacious Private Room","Queens","Queens Village","Private room",68
"Acropolis Astoria","Queens","Ditmars Steinway","Entire home/apt",100
"Private Suite in Brooklyn Townhouse.","Brooklyn","Williamsburg","Private room",104
"Clean and cozy Private Bedroom","Brooklyn","Bedford-Stuyvesant","Private room",46
"Large 1 Bed - Ideal UWS Location","Manhattan","Upper West Side","Entire home/apt",149
"Luxe Chic room in the Heart of East Williamsburg","Brooklyn","Williamsburg","Private room",80
"Airy Midtown East 1BR w/ W/D, Doorman, near Central Park, by Blueground","Manhattan","Midtown","Entire home/apt",333
"Brooklyn loft with huge livingroom","Brooklyn","Bedford-Stuyvesant","Private room",65
"Bright, Airy, Rockaway Beach House w/ Backyard","Queens","Arverne","Entire home/apt",256
"Private Spacious Apt and Garden- your Urban Oasis!","Brooklyn","Crown Heights","Entire home/apt",180
"Honda","Brooklyn","East Flatbush","Private room",99
"Private room in Manhattan","Manhattan","Washington Heights","Private room",75
"Monica’s cozy room","Brooklyn","Bedford-Stuyvesant","Private room",80
"Hotel Room Queen/Queen Beds Chelsea","Manhattan","Chelsea","Private room",413
"1bd steps from Central Park/museum","Manhattan","Upper East Side","Entire home/apt",125
"Brand new 1BR~ Newly furnished ~ In Unit Laundry","Manhattan","Hell's Kitchen","Entire home/apt",120
"Loft w/ Terrace @ Box House Hotel","Brooklyn","Greenpoint","Private room",349
